EDITION,NAME,TOKEN,ATTRIBUTE:POWER,ATTRIBUTE:ATTACK,ATTRIBUTE:DEFENSE,ATTRIBUTE:SPEED,ATTRIBUTE:INTELLIGENCE,ATTRIBUTE:HEART,ATTRIBUTE:BACKGROUND,ATTRIBUTE:CIRCLE,ATTRIBUTE:ELEMENTAL,ATTRIBUTE:COLOR,ATTRIBUTE:EYES,ATTRIBUTE:SCALES,ATTRIBUTE:CHEST,ATTRIBUTE:SPIKES,ATTRIBUTE:ARMOUR,ATTRIBUTE:HORN,ATTRIBUTE:SCORE,RANKING,MEDIA:ORIGINAL,MEDIA:THUMBNAIL
82,GNOGONS #82,XGNOGONS-0a6d4c-52,85,97,89,95,95,96,Midnight Navy,Tiffany,Thunder,Kobe,Dragonfruit,Diamond,Blizzard,Blades,None,Victory Crown,297.37,8098,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/82.png,
83,GNOGONS #83,XGNOGONS-0a6d4c-53,80,94,91,98,99,92,Midnight Navy,Cyber,Alloys,Diamond Hands,Gold,Toxic,Mech Suit,Beauty,Centurion,Prism Frost,400.53,2532,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/83.png,
84,GNOGONS #84,XGNOGONS-0a6d4c-54,65,90,99,95,89,91,Jet Black,Bananas,Ether,Kobe,Cerulean,Diamond,Cave,Frost,Special Task Force,Inferno,335.54,5586,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/84.png,
85,GNOGONS #85,XGNOGONS-0a6d4c-55,65,94,99,89,94,94,Jet Black,Blush,Fire,Fire Blast,Charcoal,Dragonguard,Desert Storm,Hazard,None,Grim Reaper,324.16,6350,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/85.png,
86,GNOGONS #86,XGNOGONS-0a6d4c-56,93,92,94,95,93,90,Midnight Navy,Beluga,Alloys,Diamond Hands,Violet,Toxic,Atlantis,Scarab,Impenetrable,Alpha,443.81,1473,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/86.png,
87,GNOGONS #87,XGNOGONS-0a6d4c-57,65,98,96,96,94,94,Jet Black,Blush,Plant,Lunar Landing,Citrus,Dragonguard,Desert Storm,Frost,None,Uniswap Killer,343.85,5073,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/87.png,
88,GNOGONS #88,XGNOGONS-0a6d4c-58,75,92,94,94,95,94,Black Charcoal,Aura,Ice,Gnogons,Cerulean,Mountain,Platinum,Scarab,Seashell,Destroyer,348.6,4764,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/88.png,
89,GNOGONS #89,XGNOGONS-0a6d4c-59,97,93,90,97,93,96,Standard Issue,Deep Sea,Gnogen,Darkmode,Autumn,Lagoon,Maiar Blue,Photosynthesis,Special Task Force,Shards of Darkness,335.58,5580,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/89.png,
90,GNOGONS #90,XGNOGONS-0a6d4c-5A,85,98,91,94,94,95,Midnight Navy,Beluga,Ice,Death,Charcoal,Mountain,Maiar Blue,Eco,Seashell,Priest,379.13,3293,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/90.png,
91,GNOGONS #91,XGNOGONS-0a6d4c-5B,95,92,93,94,94,97,Tiffany Sea,Cyber,Plant,Kobe,Citrus,Oceanic,Platinum,Rainbow,Crusader,Mountaineer,366.77,3839,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/91.png,
92,GNOGONS #92,XGNOGONS-0a6d4c-5C,65,94,95,95,95,100,Tiffany Sea,Cyber,Fear,24 Karat,Charcoal,Diamond,Marine,Mist,None,Moonlight Rider,942.38,355,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/92.png,
93,GNOGONS #93,XGNOGONS-0a6d4c-5D,85,95,97,99,98,90,Holograph,Deep Sea,Thunder,God of War,Charcoal,Diamond,Atlantis,Icicles,Centurion,Super,413.26,2149,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/93.png,
94,GNOGONS #94,XGNOGONS-0a6d4c-5E,91,98,91,94,93,94,Black Charcoal,Deep Sea,Sun,Lunar Landing,Charcoal,Toxic,Blizzard,Scarab,Seashell,Mountaineer,345.47,4965,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/94.png,
95,GNOGONS #95,XGNOGONS-0a6d4c-5F,95,98,97,94,93,93,Tiffany Sea,Beluga,Ether,Death,Charcoal,Mountain,Plated,Scarab,Crusader,Skeletor,491,965,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/95.png,
96,GNOGONS #96,XGNOGONS-0a6d4c-60,65,94,94,97,96,93,Pure Red,Bananas,Fire,Destiny,Violet,Lagoon,Marine,Frost,Seashell,Mountaineer,356.33,4359,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/96.png,
97,GNOGONS #97,XGNOGONS-0a6d4c-61,92,92,89,94,98,98,Black Charcoal,Aura,Ice,Diamond Hands,Sky,Mountain,Atlantis,Silver,Blackbox,Warrior,357.97,4279,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/97.png,
98,GNOGONS #98,XGNOGONS-0a6d4c-62,85,91,96,97,98,90,Pure Red,Aura,Sun,Kobe,Charcoal,Oceanic,Platinum,Sacrifice,None,Grim Reaper,352.83,4536,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/98.png,
99,GNOGONS #99,XGNOGONS-0a6d4c-63,91,93,96,90,89,99,Black Charcoal,Aura,Thunder,Seaside,Offwhite,Dragonguard,Marine,Frost,None,Protector,344.33,5041,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/99.png,
100,GNOGONS #100,XGNOGONS-0a6d4c-64,91,97,94,94,92,94,Standard Issue,Deep Sea,Alloys,Kobe,Dragonfruit,Toxic,Stealthmode,Razor,Special Task Force,Stealth Mode,314.55,6985,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/100.png,
101,GNOGONS #101,XGNOGONS-0a6d4c-65,93,94,94,96,94,91,Twilight Zone,Aura,Fire,Lunar Landing,Violet,Toxic,Blizzard,Dusk,None,Alien,305.45,7588,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/101.png,
102,GNOGONS #102,XGNOGONS-0a6d4c-66,75,97,90,91,93,92,Fast Furious,Cyber,Gnogen,Lockness,Offwhite,Mountain,Blizzard,Frost,None,Scythe,286.82,8696,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/102.png,
103,GNOGONS #103,XGNOGONS-0a6d4c-67,85,94,92,97,95,94,Midnight Navy,Deep Sea,Fire,Diamond Hands,Sky,Lagoon,Marine,Blades,None,Protector,285.13,8778,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/103.png,
104,GNOGONS #104,XGNOGONS-0a6d4c-68,80,100,90,99,91,90,Jet Black,Deep Sea,Alloys,Gnogons,Dragonfruit,Diamond,Stealthmode,Plasma,Seashell,Warrior,975.42,301,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/104.png,
105,GNOGONS #105,XGNOGONS-0a6d4c-69,91,94,94,93,91,94,Twilight Zone,Bananas,Thunder,Destiny,Autumn,Oceanic,Plated,Rainbow,None,Warrior,253.37,9833,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/105.png,
106,GNOGONS #106,XGNOGONS-0a6d4c-6A,80,97,95,91,96,96,Almond Skin,Cyber,Alloys,Fire Blast,Cerulean,Toxic,Platinum,Photosynthesis,Special Task Force,Iridescent,299.92,7960,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/106.png,
107,GNOGONS #107,XGNOGONS-0a6d4c-6B,92,96,95,96,90,95,Black Charcoal,Taupe,Ice,Kobe,Dragonfruit,Toxic,Mech Suit,Silver,None,Pharoah,351.87,4585,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/107.png,
108,GNOGONS #108,XGNOGONS-0a6d4c-6C,85,97,94,98,95,89,Almond Skin,Beluga,Ice,God of War,Violet,Oceanic,Gold Plated,Plasma,None,Skeletor,458.61,1260,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/108.png,
109,GNOGONS #109,XGNOGONS-0a6d4c-6D,65,96,93,94,94,95,Hot Pink,Forrest,Sun,Diamond Hands,Cerulean,Diamond,Marine,Jira,None,Inferno,261.28,9684,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/109.png,
110,GNOGONS #110,XGNOGONS-0a6d4c-6E,60,93,90,95,91,98,Almond Skin,Bone,Ether,Death,Sky,Toxic,Steel Scales,Bones,Rise,Victory Crown,320.7,6588,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/110.png,
111,GNOGONS #111,XGNOGONS-0a6d4c-6F,75,91,94,94,92,98,Twilight Zone,Plum,Moon,Diamond Hands,Dragonfruit,Dragonguard,Gold Plated,Plasma,MEX,Aviators,357.91,4284,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/111.png,
112,GNOGONS #112,XGNOGONS-0a6d4c-70,80,94,96,92,94,93,Hot Pink,Cyber,Fear,Guardian of Earth,Violet,Toxic,Desert Storm,Volt,MEX,Moonlight Rider,283.65,8866,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/112.png,
113,GNOGONS #113,XGNOGONS-0a6d4c-71,95,97,93,99,95,95,Tiffany Sea,Beluga,Fear,Destiny,Offwhite,Dragonguard,Mech Suit,Chariot,None,Shards of Darkness,406.91,2329,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/113.png,
114,GNOGONS #114,XGNOGONS-0a6d4c-72,90,98,92,94,95,95,Tiffany Sea,Forrest,Fear,Kobe,Violet,Mountain,Gold Plated,Flightsuit,Special Task Force,Mystic,428.36,1806,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/114.png,
115,GNOGONS #115,XGNOGONS-0a6d4c-73,90,95,94,94,94,96,Twilight Zone,Tiffany,Plant,Gnogons,Violet,Diamond,Mech Suit,Moss,None,Super,278.26,9111,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/115.png,
116,GNOGONS #116,XGNOGONS-0a6d4c-74,97,91,94,91,92,94,Twilight Zone,Blush,Gnogen,Guardian of Earth,Citrus,Toxic,Marine,Plasma,None,Inferno,276.94,9157,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/116.png,
117,GNOGONS #117,XGNOGONS-0a6d4c-75,85,93,94,94,94,92,Tiffany Sea,Bone,Decay,Lockness,Emerald,Tough,Mech Suit,Razor,Special Task Force,Protector,302.23,7817,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/117.png,
118,GNOGONS #118,XGNOGONS-0a6d4c-76,93,93,98,94,93,94,Fast Furious,Beluga,Sun,God of War,Sky,Oceanic,Cave,Rainbow,Seashell,Healer,301.57,7857,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/118.png,
119,GNOGONS #119,XGNOGONS-0a6d4c-77,85,90,97,94,98,96,Tiffany Sea,GNG,Fear,Fire Blast,Sky,Toxic,Stealthmode,Silver,None,Mystic,369.62,3699,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/119.png,
120,GNOGONS #120,XGNOGONS-0a6d4c-78,91,96,93,93,92,99,Fast Furious,Matte,Alloys,Fire Blast,Citrus,Lagoon,Blizzard,Blades,Seashell,Pharoah,391.95,2826,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/120.png,
121,GNOGONS #121,XGNOGONS-0a6d4c-79,80,98,94,89,94,95,Pure Red,Bone,Moon,Kobe,Charcoal,Toxic,Plated,Photosynthesis,Blackbox,Post Battle,369.31,3712,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/121.png,
122,GNOGONS #122,XGNOGONS-0a6d4c-7A,93,89,98,98,98,98,Holograph,Deep Sea,Moon,Destiny,Sky,Mountain,Maiar Blue,Scarab,None,Grim Reaper,504.26,881,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/122.png,
123,GNOGONS #123,XGNOGONS-0a6d4c-7B,92,94,90,95,94,98,Midnight Navy,Bananas,Plant,God of War,Violet,Tough,Marine,Photosynthesis,MEX,Super,340.45,5272,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/123.png,
124,GNOGONS #124,XGNOGONS-0a6d4c-7C,93,94,94,91,97,93,Twilight Zone,Matte,Sun,24 Karat,Charcoal,Mountain,Desert Storm,Volt,None,Victory Crown,293.03,8362,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/124.png,
125,GNOGONS #125,XGNOGONS-0a6d4c-7D,70,97,91,95,94,93,Twilight Zone,Blush,Water,God of War,Emerald,Toxic,Plated,Volt,Crusader,God of Thunder,317.56,6795,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/125.png,
126,GNOGONS #126,XGNOGONS-0a6d4c-7E,75,93,91,95,94,98,Fast Furious,GNG,Sun,Guardian of Earth,Autumn,Toxic,Steel Scales,Sacrifice,Royal Armor,Moonlight Rider,321.55,6532,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/126.png,
127,GNOGONS #127,XGNOGONS-0a6d4c-7F,91,95,95,89,92,94,Undriven Snow,Bone,Thunder,Lockness,Citrus,Oceanic,Blizzard,Scarab,None,Metaversed,301.1,7885,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/127.png,
128,GNOGONS #128,XGNOGONS-0a6d4c-80,70,94,90,92,97,93,Hot Pink,Taupe,Fear,Destiny,Offwhite,Dragonguard,Blizzard,Moss,None,Iridescent,262.26,9660,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/128.png,
129,GNOGONS #129,XGNOGONS-0a6d4c-81,98,94,92,96,91,90,Twilight Zone,Plum,Decay,Lunar Landing,Sky,Toxic,Desert Storm,Bones,None,Alien,398.95,2575,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/129.png,
130,GNOGONS #130,XGNOGONS-0a6d4c-82,92,92,100,97,90,90,Fast Furious,GNG,Ice,Lunar Landing,Citrus,Toxic,Cave,Flightsuit,Seashell,Iridescent,764.8,622,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/130.png,
131,GNOGONS #131,XGNOGONS-0a6d4c-83,94,92,94,92,93,93,Fast Furious,Deep Sea,Alloys,Kobe,Dragonfruit,Lagoon,Steel Scales,Bones,None,Warrior,241.09,9966,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/131.png,
132,GNOGONS #132,XGNOGONS-0a6d4c-84,75,95,90,91,94,99,Twilight Zone,Bone,Sun,Diamond Hands,Charcoal,Mountain,Gold Plated,Dusk,None,Aviators,318.21,6742,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/132.png,
133,GNOGONS #133,XGNOGONS-0a6d4c-85,94,100,96,95,94,92,Hot Pink,Bananas,Sun,Death,Dragonfruit,Diamond,Maiar Blue,Bones,None,Moonlight Rider,919.15,413,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/133.png,
134,GNOGONS #134,XGNOGONS-0a6d4c-86,80,89,96,96,95,91,Almond Skin,Tiffany,Fear,Cotton Candy,Cerulean,Oceanic,Steel Scales,Moss,None,Omega,409.39,2245,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/134.png,
135,GNOGONS #135,XGNOGONS-0a6d4c-87,99,94,96,94,95,94,Undriven Snow,Beluga,Fear,Rival,Citrus,Oceanic,Cave,Silver,None,Healer,361.4,4094,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/135.png,
136,GNOGONS #136,XGNOGONS-0a6d4c-88,75,91,95,94,93,97,Holograph,Tiffany,Ice,Guardian of Earth,Citrus,Oceanic,Plated,Sacrifice,None,Healer,287.98,8625,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/136.png,
137,GNOGONS #137,XGNOGONS-0a6d4c-89,93,91,94,93,89,91,Fast Furious,GNG,Moon,Lockness,Sky,Oceanic,Gold Plated,Jira,Blackbox,Healer,274.51,9267,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/137.png,
138,GNOGONS #138,XGNOGONS-0a6d4c-8A,80,96,93,90,94,98,Midnight Navy,Aura,Spirit,Cotton Candy,Emerald,Diamond,Blizzard,Dusk,None,Scythe,319.41,6665,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/138.png,
139,GNOGONS #139,XGNOGONS-0a6d4c-8B,97,91,93,91,90,92,Jet Black,Blush,Ether,Destiny,Emerald,Mountain,Plated,Mist,Special Task Force,Protector,321.14,6555,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/139.png,
140,GNOGONS #140,XGNOGONS-0a6d4c-8C,92,90,94,98,95,91,Tiffany Sea,Deep Sea,Sun,Guardian of Earth,Violet,Toxic,Stealthmode,Scarab,Crusader,Aviators,333.57,5725,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/140.png,
141,GNOGONS #141,XGNOGONS-0a6d4c-8D,91,94,97,94,94,99,Hot Pink,Aura,Alloys,Death,Cerulean,Dragonguard,Atlantis,Jira,Centurion,Moonlight Rider,335.55,5585,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/141.png,
142,GNOGONS #142,XGNOGONS-0a6d4c-8E,85,98,89,93,97,94,Black Charcoal,Bone,Fire,Guardian of Earth,Gold,Mountain,Maiar Blue,Volt,Seashell,Aviators,338.82,5372,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/142.png,
143,GNOGONS #143,XGNOGONS-0a6d4c-8F,85,91,94,97,93,92,Undriven Snow,Aura,Alloys,Fire Blast,Charcoal,Toxic,Stealthmode,Jira,Crusader,Omega,403.9,2412,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/143.png,
144,GNOGONS #144,XGNOGONS-0a6d4c-90,93,100,91,95,92,91,Hot Pink,Forrest,Alloys,Lockness,Cerulean,Toxic,Plated,Jet Blue,Rise,Protector,995.58,272,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/144.png,
145,GNOGONS #145,XGNOGONS-0a6d4c-91,97,94,94,98,96,89,Jet Black,GNG,Sun,Kobe,Violet,Tough,Marine,Dusk,Crusader,Inferno,349.27,4721,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/145.png,
146,GNOGONS #146,XGNOGONS-0a6d4c-92,70,92,92,89,94,96,Fast Furious,Aura,Decay,Death,Violet,Lagoon,Atlantis,Eco,Seashell,Super,306.95,7500,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/146.png,
147,GNOGONS #147,XGNOGONS-0a6d4c-93,85,97,95,98,94,96,Pure Red,Taupe,Plant,Lunar Landing,Citrus,Dragonguard,Marine,Moss,None,Warrior,332.18,5818,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/147.png,
148,GNOGONS #148,XGNOGONS-0a6d4c-94,90,90,99,89,95,92,Hot Pink,Aura,Fear,Death,Autumn,Oceanic,Desert Storm,Dusk,Royal Armor,Wisdom,353.81,4485,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/148.png,
149,GNOGONS #149,XGNOGONS-0a6d4c-95,96,89,97,97,97,95,Jet Black,Deep Sea,Alloys,Lockness,Charcoal,Dragonguard,Gold Plated,Scarab,None,Moonlight Rider,321.72,6522,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/149.png,
150,GNOGONS #150,XGNOGONS-0a6d4c-96,92,97,97,94,94,93,Midnight Navy,Taupe,Water,Lockness,Violet,Oceanic,Marine,Dusk,Rise,Alpha,437.92,1598,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/150.png,
151,GNOGONS #151,XGNOGONS-0a6d4c-97,85,95,93,92,91,89,Standard Issue,Taupe,Ice,Lunar Landing,Autumn,Tough,Gold Plated,Hazard,Crusader,Uniswap Killer,301.76,7843,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/151.png,
152,GNOGONS #152,XGNOGONS-0a6d4c-98,80,97,92,93,96,97,Pure Red,Cyber,Ice,God of War,Dragonfruit,Oceanic,Stealthmode,Dusk,None,Alpha,434.93,1660,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/152.png,
153,GNOGONS #153,XGNOGONS-0a6d4c-99,65,96,97,93,90,94,Jet Black,Bone,Spirit,Destiny,Violet,Toxic,Marine,Ifrit,None,Mystic,341.82,5196,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/153.png,
154,GNOGONS #154,XGNOGONS-0a6d4c-9A,92,97,96,98,94,94,Hot Pink,Bone,Plant,God of War,Gold,Toxic,Maiar Blue,Rainbow,Centurion,Elder,373.8,3509,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/154.png,
155,GNOGONS #155,XGNOGONS-0a6d4c-9B,96,96,96,97,98,89,Hot Pink,Beluga,Gnogen,Kobe,Dragonfruit,Diamond,Cave,Sacrifice,Metal,Aviators,423,1914,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/155.png,
156,GNOGONS #156,XGNOGONS-0a6d4c-9C,93,98,94,94,91,89,Twilight Zone,Aura,Sun,Guardian of Earth,Emerald,Mountain,Blizzard,Razor,Royal Armor,Pharoah,379.83,3267,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/156.png,
157,GNOGONS #157,XGNOGONS-0a6d4c-9D,80,94,93,94,89,95,Hot Pink,GNG,Alloys,Darkmode,Emerald,Mountain,Blizzard,Blades,None,Warrior,252.97,9841,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/157.png,
158,GNOGONS #158,XGNOGONS-0a6d4c-9E,98,91,89,97,94,89,Almond Skin,Bone,Water,Destiny,Autumn,Mountain,Mech Suit,Hades,MEX,Grim Reaper,412.26,2171,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/158.png,
159,GNOGONS #159,XGNOGONS-0a6d4c-9F,75,97,94,94,94,93,Hot Pink,Tiffany,Fire,Destiny,Autumn,Oceanic,Gold Plated,Photosynthesis,Rise,Pharoah,361.72,4083,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/159.png,
160,GNOGONS #160,XGNOGONS-0a6d4c-A0,99,99,100,95,96,94,Midnight Navy,Cyber,Gnogen,Darkmode,Sky,Lagoon,Atlantis,Plasma,Seashell,Priest,963.08,325,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/160.png,
161,GNOGONS #161,XGNOGONS-0a6d4c-A1,96,91,97,94,99,90,Standard Issue,Tiffany,Gnogen,Guardian of Earth,Charcoal,Oceanic,Plated,Silver,Rise,Stealth Mode,399.99,2546,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/161.png,
162,GNOGONS #162,XGNOGONS-0a6d4c-A2,65,94,91,89,95,94,Twilight Zone,Matte,Decay,Cotton Candy,Gold,Lagoon,Marine,Jet Blue,None,Wisdom,354.07,4471,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/162.png,
163,GNOGONS #163,XGNOGONS-0a6d4c-A3,70,90,92,95,90,95,Pure Red,Tiffany,Thunder,Lockness,Gold,Oceanic,Marine,Photosynthesis,Seashell,Omega,418.6,2015,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/163.png,
164,GNOGONS #164,XGNOGONS-0a6d4c-A4,70,93,94,94,89,89,Tiffany Sea,Beluga,Fire,Rival,Offwhite,Tough,Mech Suit,Photosynthesis,Rise,Super,305.03,7625,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/164.png,
